Order_ID,Order_Date,Customer_ID,Customer_Name,State,Region_Raw,Region,Product_ID,Product_Name,Fabric_Type,Quantity_Meters_Raw,Quantity_Meters,Unit_Price,Discount_Percent,Gross_Amount,Sales_Amount_Raw,Sales_Amount_Expected,Sales_Match,Order_Status_Raw,Order_Status,Payment_Method_Raw,Payment_Method,Order_Month,Order_Quarter,Order_Year
ORDX00001,12/15/2026,C107,Coastal Cotton Co,Kerala,South,South,TX204,Rayon Flex,Rayon,305,305,232,3,70760,68637.2,68637.2,Match,Shipped,Shipped,Credit,Credit,Dec,Q4,2026
ORDX00002,11/27/2026,C103,LoomCraft India,Karnataka,South,South,TX207,Poly Viscose,Viscose,493,493,220,15,108460,92191,92191,Match,Shipped,Shipped,Cash,Cash,Nov,Q4,2026
ORDX00003,9/15/2026,C106,Royal Weave Traders,Gujarat,West,West,TX205,Linen Touch,Linen Blend,378,378,404,5,152712,145076.4,145076.4,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Sep,Q3,2026
ORDX00004,11/10/2026,C105,Northern Apparel Works,Delhi,North,North,TX201,Organic Cotton,Cotton,56,56,221,8,12376,11385.92,11385.92,Match,Delivered,Delivered,Cash,Cash,Nov,Q4,2026
ORDX00005,7/7/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX210,Matte Polyester,Polyester,224,224,184,10,41216,37094.4,37094.4,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Jul,Q3,2026
ORDX00006,11/16/2026,C107,Coastal Cotton Co,Kerala,South,South,TX204,Rayon Flex,Rayon,539,539,229,3,123431,119728.07,119728.07,Match,Shipped,Shipped,Wallet,Wallet,Nov,Q4,2026
ORDX00007,10/1/2026,C109,Odisha Style Mills,Odisha,East,East,TX207,Poly Viscose,Viscose,422,422,227,0,95794,95794,95794,Match,Delivered,Delivered,Credit,Credit,Oct,Q4,2026
ORDX00008,2/22/2026,C109,Odisha Style Mills,Odisha,East,East,TX210,Matte Polyester,Polyester,374,374,184,5,68816,65375.2,65375.2,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Feb,Q1,2026
ORDX00009,7/25/2026,C108,Punjab Cloth Market,Punjab,North,North,TX203,Premium Denim,Denim,115,115,342,5,39330,37363.5,37363.5,Match,Shipped,Shipped,credit,Credit,Jul,Q3,2026
ORDX00010,4/16/2026,C106,Royal Weave Traders,Gujarat,West,West,TX206,Silk Fusion,Silk Blend,511,511,612,12,312732,275204.16,275204.16,Match,Processing,Processing,Credit,Credit,Apr,Q2,2026
ORDX00011,9/27/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX204,Rayon Flex,Rayon,305,305,238,15,72590,61701.5,61701.5,Match,Delivered,Delivered,UPI,UPI,Sep,Q3,2026
ORDX00012,7/27/2026,C108,Punjab Cloth Market,Punjab,North,North,TX205,Linen Touch,Linen Blend,372,372,395,12,146940,129307.2,129307.2,Match,Shipped,Shipped,UPI,UPI,Jul,Q3,2026
ORDX00013,6/6/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX209,Workwear Poly,Poly Cotton,49,49,190,8,9310,8565.2,8565.2,Match,Delivered,Delivered,UPI,UPI,Jun,Q2,2026
ORDX00014,5/16/2026,C108,Punjab Cloth Market,Punjab,North,North,TX201,Organic Cotton,Cotton,506,506,220,12,111320,97961.6,97961.6,Match,Delivered,Delivered,Cash,Cash,May,Q2,2026
ORDX00015,9/18/2026,C103,LoomCraft India,Karnataka,South,South,TX201,Organic Cotton,Cotton,524,524,235,12,123140,108363.2,108363.2,Match,Delivered,Delivered,UPI,UPI,Sep,Q3,2026
ORDX00016,2/2/2026,C108,Punjab Cloth Market,Punjab,North,North,TX202,Printed Cambric,Printed Cotton,82,82,267,12,21894,19266.72,19266.72,Match,Shipped,Shipped,Wallet,Wallet,Feb,Q1,2026
ORDX00017,8/2/2026,C103,LoomCraft India,Karnataka,South,South,TX208,Athleisure Knit,Cotton Lycra,581,581,282,0,163842,163842,163842,Match,Delivered,Delivered,Cash,Cash,Aug,Q3,2026
ORDX00018,8/6/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX205,Linen Touch,Linen Blend,537,537,388,12,208356,183353.28,183353.28,Match,Delivered,Delivered,UPI,UPI,Aug,Q3,2026
ORDX00019,6/28/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX210,Matte Polyester,Polyester,609,609,176,15,107184,91106.4,91106.4,Match,Delivered,Delivered,Wallet,Wallet,Jun,Q2,2026
ORDX00020,8/19/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX205,Linen Touch,Linen Blend,689,689,403,3,277667,269336.99,269336.99,Match,Delivered,Delivered,Cash,Cash,Aug,Q3,2026
ORDX00021,10/11/2026,C103,LoomCraft India,Karnataka,South,South,TX206,Silk Fusion,Silk Blend,612,612,607,2,371484,364054.32,364054.32,Match,Delivered,Delivered,Wallet,Wallet,Oct,Q4,2026
ORDX00022,10/13/2026,C106,Royal Weave Traders,Gujarat,West,West,TX204,Rayon Flex,Rayon,365,365,250,15,91250,77562.5,77562.5,Match,Delivered,Delivered,UPI,UPI,Oct,Q4,2026
ORDX00023,10/10/2026,C107,Coastal Cotton Co,Kerala,South,South,TX201,Organic Cotton,Cotton,667,667,222,5,148074,140670.3,140670.3,Match,Processing,Processing,Cash,Cash,Oct,Q4,2026
ORDX00024,8/13/2026,C109,Odisha Style Mills,Odisha,East,East,TX205,Linen Touch,Linen Blend,268,268,398,5,106664,101330.8,101330.8,Match,Cancelled,Cancelled,UPI,UPI,Aug,Q3,2026
ORDX00025,11/14/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX201,Organic Cotton,Cotton,531,531,229,2,121599,119167.02,119167.02,Match,Delivered,Delivered,Credit,Credit,Nov,Q4,2026
ORDX00026,4/11/2026,C103,LoomCraft India,Karnataka,South,South,TX201,Organic Cotton,Cotton,659,659,226,15,148934,126593.9,126593.9,Match,Delivered,Delivered,Credit,Credit,Apr,Q2,2026
ORDX00027,12/9/2026,C102,Metro Fabric House,Maharashtra,West,West,TX206,Silk Fusion,Silk Blend,259,259,613,0,158767,158767,158767,Match,Shipped,Shipped,Wallet,Wallet,Dec,Q4,2026
ORDX00028,6/9/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX210,Matte Polyester,Polyester,450,450,173,12,77850,68508,68508,Match,Delivered,Delivered,Cash,Cash,Jun,Q2,2026
ORDX00029,10/7/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX206,Silk Fusion,Silk Blend,644,644,616,10,396704,357033.6,357033.6,Match,Delivered,Delivered,UPI,UPI,Oct,Q4,2026
ORDX00030,12/15/2026,C109,Odisha Style Mills,Odisha,East,East,TX206,Silk Fusion,Silk Blend,694,694,621,5,430974,409425.3,409425.3,Match,Delivered,Delivered,Credit,Credit,Dec,Q4,2026
ORDX00031,5/28/2026,C103,LoomCraft India,Karnataka,South,South,TX203,Premium Denim,Denim,523,523,332,0,173636,173636,173636,Match,Delivered,Delivered,Credit,Credit,May,Q2,2026
ORDX00032,9/24/2026,C108,Punjab Cloth Market,Punjab,North,North,TX201,Organic Cotton,Cotton,507,507,232,2,117624,115271.52,115271.52,Match,Delivered,Delivered,Credit,Credit,Sep,Q3,2026
ORDX00033,9/9/2026,C103,LoomCraft India,Karnataka,South,South,TX207,Poly Viscose,Viscose,178,178,215,2,38270,37504.6,37504.6,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Sep,Q3,2026
ORDX00034,10/31/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX202,Printed Cambric,Printed Cotton,288,288,249,5,71712,68126.4,68126.4,Match,Cancelled,Cancelled,Cash,Cash,Oct,Q4,2026
ORDX00035,8/21/2026,C107,Coastal Cotton Co,Kerala,South,South,TX209,Workwear Poly,Poly Cotton,133,133,205,3,27265,26447.05,26447.05,Match,Processing,Processing,Bank Transfer,Bank Transfer,Aug,Q3,2026
ORDX00036,4/30/2026,C108,Punjab Cloth Market,Punjab,North,North,TX206,Silk Fusion,Silk Blend,662,662,611,3,404482,392347.54,392347.54,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Apr,Q2,2026
ORDX00037,4/9/2026,C103,LoomCraft India,Karnataka,South,South,TX209,Workwear Poly,Poly Cotton,187,187,207,8,38709,35612.28,35612.28,Match,Delivered,Delivered,Credit,Credit,Apr,Q2,2026
ORDX00038,6/12/2026,C102,Metro Fabric House,Maharashtra,West,West,TX206,Silk Fusion,Silk Blend,195,195,595,5,116025,110223.75,110223.75,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Jun,Q2,2026
ORDX00039,5/15/2026,C108,Punjab Cloth Market,Punjab,North,North,TX208,Athleisure Knit,Cotton Lycra,229,229,280,0,64120,64120,64120,Match,Delivered,Delivered,Cash,Cash,May,Q2,2026
ORDX00040,1/22/2026,C103,LoomCraft India,Karnataka,South,South,TX206,Silk Fusion,Silk Blend,72,72,607,10,43704,39333.6,39333.6,Match,Delivered,Delivered,Cash,Cash,Jan,Q1,2026
ORDX00041,10/4/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX202,Printed Cambric,Printed Cotton,643,643,259,5,166537,158210.15,158210.15,Match,Delivered,Delivered,Wallet,Wallet,Oct,Q4,2026
ORDX00042,1/4/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX203,Premium Denim,Denim,581,581,341,15,198121,168402.85,168402.85,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Jan,Q1,2026
ORDX00043,1/6/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX205,Linen Touch,Linen Blend,133,133,383,5,50939,48392.05,48392.05,Match,Returned,Returned,Wallet,Wallet,Jan,Q1,2026
ORDX00044,4/5/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX205,Linen Touch,Linen Blend,133,133,375,5,49875,47381.25,47381.25,Match,Delivered,Delivered,Wallet,Wallet,Apr,Q2,2026
ORDX00045,6/10/2026,C105,Northern Apparel Works,Delhi,North,North,TX207,Poly Viscose,Viscose,290,290,217,3,62930,61042.1,61042.1,Match,Delivered,Delivered,Credit,Credit,Jun,Q2,2026
ORDX00046,6/23/2026,C103,LoomCraft India,Karnataka,South,South,TX208,Athleisure Knit,Cotton Lycra,660,660,294,15,194040,164934,164934,Match,Returned,Returned,Credit,Credit,Jun,Q2,2026
ORDX00047,9/30/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX210,Matte Polyester,Polyester,138,138,178,0,24564,24564,24564,Match,Shipped,Shipped,Wallet,Wallet,Sep,Q3,2026
ORDX00048,1/26/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX207,Poly Viscose,Viscose,442,442,227,8,100334,92307.28,92307.28,Match,Delivered,Delivered,UPI,UPI,Jan,Q1,2026
ORDX00049,11/17/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX204,Rayon Flex,Rayon,546,546,240,10,131040,117936,117936,Match,Delivered,Delivered,Cash,Cash,Nov,Q4,2026
ORDX00050,11/18/2026,C107,Coastal Cotton Co,Kerala,South,South,TX202,Printed Cambric,Printed Cotton,85,85,270,0,22950,22950,22950,Match,Delivered,Delivered,Wallet,Wallet,Nov,Q4,2026
ORDX00051,2/27/2026,C106,Royal Weave Traders,Gujarat,West,West,TX210,Matte Polyester,Polyester,376,376,189,0,71064,71064,71064,Match,Delivered,Delivered,Cash,Cash,Feb,Q1,2026
